Fecha (UTC),Latitud,Longitud,Profundidad,Magnitud
2020-10-06 13:25:12,-21.4,-69.78,46,4.2
2020-10-05 19:28:21,-20.24,-70.28,40,3.6
2020-09-30 13:29:32,-19.46,-69.32,102,3.7
2020-09-29 16:16:15,-41.72,-73.98,36,3.5
2020-09-29 14:24:31,-33.7,-70.82,92,4.4
2020-09-28 15:41:59,-29.27,-71.25,51,3.8
2020-09-28 14:26:04,-29.26,-71.22,51,3.9
2020-09-22 11:53:06,-21.91,-68.41,126,4.7
2020-09-20 20:11:55,-28.55,-71.26,42,4.1
2020-09-19 09:26:50,-21.0,-68.73,129,4.9
2020-09-19 07:01:59,-20.38,-70.05,62,4
2020-09-18 01:46:54,-30.02,-71.64,35,4.1
2020-09-17 06:47:24,-21.38,-69.81,47,3.8
2020-09-17 01:33:15,-30.35,-71.52,40,5.1
2020-09-16 06:30:15,-31.51,-71.65,70,4.3
2020-09-13 14:52:49,-29.04,-71.31,44,4.5
2020-09-12 15:42:11,-31.32,-71.16,68,3.7
2020-09-11 15:10:45,-21.35,-69.85,48,3.9
2020-09-11 10:37:10,-21.37,-69.84,53,3.2
2020-09-11 08:25:06,-21.39,-69.89,48,4.6
2020-09-11 07:48:52,-21.39,-69.86,48,3.6
2020-09-11 07:35:56,-21.36,-69.91,54,6
2020-09-08 09:35:13,-29.46,-71.84,28,4.1
2020-09-07 01:27:48,-27.96,-71.11,30,4.2
2020-09-06 11:21:01,-28.03,-71.41,21,4.8
2020-09-06 01:26:30,-30.42,-71.42,17,3.3
2020-09-06 01:16:58,-30.35,-71.54,30,6.3
2020-09-04 20:12:58,-28.03,-71.26,21,3.2
2020-09-04 13:23:20,-33.37,-71.34,56,3.8
2020-09-03 03:23:57,-28.01,-71.44,27,4.7
2020-09-02 16:14:38,-30.32,-71.39,50,3.7
2020-09-02 13:38:18,-28.06,-71.05,35,4.1
2020-09-02 09:38:13,-28.0,-71.31,26,4.6
2020-09-02 03:04:28,-27.95,-71.43,26,4.7
2020-09-01 21:09:15,-27.98,-71.55,24,6.3
2020-09-01 17:13:22,-27.96,-71.34,31,4.8
2020-09-01 11:45:26,-27.97,-71.33,24,3.9
2020-09-01 10:31:52,-27.94,-71.33,25,5.3
2020-09-01 07:01:24,-28.05,-71.33,30,5.5
2020-09-01 06:28:23,-28.0,-71.07,32,4.5
2020-09-01 05:29:39,-28.06,-71.36,24,5.2
2020-09-01 04:36:36,-27.98,-71.08,20,4.8
2020-09-01 04:30:02,-28.07,-71.21,36,6.1
2020-09-01 04:09:27,-27.97,-71.24,31,7
2020-08-28 17:30:44,-20.01,-69.83,64,4.6
2020-08-27 20:55:39,-28.11,-71.33,43,4.5
2020-08-25 22:44:29,-26.17,-69.48,16,4.7
2020-08-24 16:25:06,-29.22,-71.2,75,3.5
2020-08-23 14:16:11,-27.89,-71.2,28,4.5
2020-08-23 06:16:15,-20.61,-69.8,48,3.9
2020-08-21 05:56:44,-19.61,-69.45,104,4.2
2020-08-16 03:18:50,-19.2,-70.24,72,5.2
2020-08-15 11:11:57,-33.2,-70.07,10,4.7
2020-08-13 12:35:23,-32.68,-71.52,31,3.7
2020-08-10 09:15:14,-33.45,-71.78,35,4.4
2020-08-07 23:53:53,-32.97,-70.19,115,4.6
2020-08-06 03:24:05,-29.39,-71.75,46,4.4
2020-08-03 11:56:52,-19.57,-69.22,102,5.4
2020-08-02 11:01:02,-19.75,-69.87,32,3.9
2020-07-29 04:20:34,-33.69,-71.14,47,3.5
2020-07-28 00:40:04,-34.79,-71.71,46,4.3
2020-07-27 10:10:36,-32.47,-71.48,42,3.5
2020-07-26 23:26:22,-28.96,-71.39,55,3.7
2020-07-26 17:02:49,-32.15,-71.92,32,4.7
2020-07-22 22:25:11,-27.3,-70.08,99,4.9
2020-07-22 09:56:21,-26.2,-70.68,48,4.1
2020-07-21 13:11:07,-29.29,-71.25,57,3.2
2020-07-19 16:52:52,-20.26,-70.06,77,4.7
2020-07-17 05:40:36,-20.24,-70.08,76,5.7
2020-07-15 22:47:21,-20.15,-70.22,45,4.2
2020-07-14 21:27:00,-31.92,-71.41,48,3.3
2020-07-11 06:12:33,-31.7,-71.68,32,4.1
2020-07-10 10:27:37,-20.97,-69.31,60,4.1
2020-07-09 03:46:41,-32.5,-71.51,47,3.7
2020-07-07 03:21:24,-27.57,-70.25,94,3.5
2020-07-04 03:20:12,-28.43,-70.58,82,4.3
2020-07-03 00:18:20,-27.3,-71.06,44,3.9
2020-07-02 12:35:46,-34.17,-72.23,32,4.9
2020-07-02 10:33:02,-30.82,-71.39,50,4.5
2020-07-01 20:44:16,-33.34,-70.2,120,4
2020-06-28 16:57:40,-27.48,-69.4,120,4.2
2020-06-25 16:38:50,-32.24,-71.71,37,3.8
2020-06-25 11:55:02,-32.25,-71.66,41,5.2
2020-06-23 20:19:17,-32.27,-71.72,32,4.1
2020-06-20 07:47:01,-32.8,-71.75,30,3.9
2020-06-17 05:22:49,-27.1,-70.46,28,3.4
2020-06-17 00:50:46,-36.66,-73.13,29,4.7
2020-06-15 04:35:44,-30.01,-71.5,44,4.3
2020-06-13 13:19:22,-27.73,-70.36,90,3.7
2020-06-11 21:53:44,-29.44,-71.14,37,4
2020-06-11 08:56:30,-30.29,-71.45,55,3.9
2020-06-10 11:10:15,-29.29,-71.4,31,3.8
2020-06-10 07:06:45,-32.18,-71.57,52,3.8
2020-06-06 07:03:10,-31.02,-71.44,55,3.7
2020-06-05 02:02:51,-30.45,-71.65,34,4.6
2020-06-04 05:55:51,-32.58,-71.45,39,2.9
2020-06-03 07:35:34,-23.25,-68.53,123,6.9
2020-05-31 05:09:37,-15.82,-71.22,218,6.2
2020-05-30 07:02:01,-29.23,-71.14,60,4.5
2020-05-29 16:32:55,-27.58,-69.28,127,5.2
2020-05-27 15:15:27,-29.23,-71.58,44,3.2
2020-05-26 01:52:36,-20.47,-69.22,85,4.3
2020-05-24 21:40:31,-19.65,-69.45,99,3.9
2020-05-23 14:14:05,-33.07,-71.22,60,3.3
2020-05-23 13:11:00,-33.5,-70.01,118,5.2
2020-05-22 14:59:33,-22.93,-69.04,91,5.2
2020-05-21 22:31:17,-33.55,-70.75,89,4.8
2020-05-21 16:05:09,-31.25,-71.69,44,4
2020-05-21 03:43:19,-41.75,-74.06,40,3.9
2020-05-18 11:15:39,-19.91,-70.05,51,4.9
2020-05-13 22:43:07,-27.75,-70.95,69,4
2020-05-12 23:14:36,-20.21,-69.2,102,4.5
2020-05-12 17:54:11,-33.76,-70.12,15,3
2020-05-12 08:29:42,-29.99,-71.22,59,3.7
2020-05-10 18:04:22,-22.76,-68.22,139,5.4
2020-05-08 22:42:08,-23.16,-68.92,98,5
2020-05-06 15:43:12,-19.32,-70.42,74,5.1
2020-05-06 14:40:06,-28.67,-71.42,22,3.7
2020-05-06 08:37:37,-30.72,-71.41,50,3.7
2020-05-06 06:36:53,-29.58,-71.11,68,5.2
2020-05-05 20:25:19,-30.65,-71.68,36,4.7
2020-05-05 17:19:46,-34.05,-71.23,56,4.6
2020-05-04 02:26:58,-20.53,-69.21,95,4.6
2020-05-03 05:39:17,-31.78,-71.34,42,3.6
2020-05-03 00:44:27,-15.76,-70.88,212,5.6
2020-05-01 14:30:47,-30.66,-71.31,54,4.3
2020-04-30 09:23:13,-22.67,-68.22,127,5.3
2020-04-26 22:42:28,-31.74,-71.28,53,3.7
2020-04-26 05:01:15,-19.89,-70.07,53,3.7
2020-04-25 05:53:58,-27.91,-71.3,27,4.9
2020-04-23 22:58:46,-31.06,-71.42,63,4.1
2020-04-22 15:51:28,-30.38,-71.5,44,4.4
2020-04-21 18:45:39,-22.06,-70.44,31,4
2020-04-21 12:31:24,-30.98,-71.38,54,3.1
2020-04-18 09:18:25,-29.09,-71.14,43,3.4
2020-04-16 15:13:07,-37.96,-73.7,28,5
2020-04-15 09:18:51,-19.63,-70.38,64,4.6
2020-04-15 00:19:02,-20.2,-69.19,97,4.5
2020-04-14 16:02:10,-33.88,-70.52,114,5.1
2020-04-14 12:04:30,-25.81,-69.35,25,5.2
2020-04-09 14:06:52,-18.23,-69.51,149,4.8
2020-04-07 17:42:05,-31.47,-71.63,36,4.4
2020-04-07 10:18:02,-31.54,-71.54,45,4.5
2020-04-06 01:54:38,-29.56,-71.41,59,4.6
2020-04-06 01:00:25,-31.82,-71.39,55,3.9
2020-04-05 16:29:35,-20.15,-70.09,52,4.4
2020-04-05 14:20:12,-31.77,-71.59,36,4.5
2020-04-05 14:18:28,-31.77,-71.66,32,4.1
2020-04-04 11:01:39,-22.07,-70.13,72,3.8
2020-04-03 20:17:19,-30.64,-71.75,36,4.7
2020-04-03 08:48:01,-29.07,-71.51,65,4.9
2020-04-02 10:21:41,-18.52,-70.46,38,4.1
2020-04-02 02:30:45,-26.19,-70.54,59,4.9
2020-04-01 16:30:38,-22.73,-70.27,36,4.2
2020-03-30 14:53:36,-27.08,-71.23,24,4.5
2020-03-30 10:01:09,-21.42,-69.47,28,4.6
2020-03-28 19:23:34,-26.26,-69.57,15,3.3
2020-03-28 03:18:41,-32.45,-71.75,36,4.4
2020-03-26 23:26:19,-30.61,-71.68,36,3.9
2020-03-25 00:07:13,-18.49,-69.14,4,3.1
2020-03-24 06:52:18,-30.63,-71.57,42,4.9
2020-03-23 22:16:45,-18.86,-70.04,67,4.6
2020-03-23 17:04:34,-32.62,-71.5,27,3.1
2020-03-21 22:20:12,-42.92,-74.14,39,4.2
2020-03-19 00:59:56,-33.39,-71.32,55,4.1
2020-03-17 08:12:01,-36.19,-73.29,42,5.6
2020-03-17 00:39:25,-20.14,-69.23,94,4.1
2020-03-15 07:39:26,-30.07,-71.28,64,3.6
2020-03-13 02:08:03,-19.96,-69.44,112,5.4
2020-03-11 00:00:38,-30.45,-71.63,36,4.4
2020-03-10 13:44:21,-22.15,-68.11,157,5
2020-03-07 10:28:56,-42.88,-74.3,22,4.4
2020-03-07 04:47:12,-31.57,-71.52,44,3.9
2020-03-06 19:21:42,-32.5,-71.55,44,3.2
2020-03-06 05:50:34,-21.29,-69.88,53,4.6
2020-03-05 18:06:08,-23.86,-69.81,65,4.9
2020-03-05 06:57:44,-28.44,-67.88,128,5.3
2020-03-02 23:07:53,-18.2,-70.41,57,4.8
2020-03-02 17:10:58,-27.67,-70.34,88,3.8
2020-02-29 15:45:28,-25.84,-69.35,107,4.4
2020-02-27 01:36:59,-29.52,-71.06,74,5
2020-02-26 20:21:32,-30.99,-71.34,57,4.8
2020-02-25 14:51:42,-31.3,-71.46,60,3.6
2020-02-25 00:49:43,-22.96,-69.44,85,4.6
2020-02-23 01:12:35,-30.44,-71.63,36,5
2020-02-18 21:41:40,-20.75,-69.32,87,4.7
2020-02-18 09:05:48,-19.12,-70.44,63,3.9
2020-02-17 11:16:16,-22.59,-69.9,42,3.8
2020-02-16 22:05:45,-21.91,-68.73,130,5.4
2020-02-14 21:37:22,-30.1,-71.27,63,3.5
2020-02-14 09:32:55,-30.18,-71.17,65,4
2020-02-13 22:23:32,-22.71,-69.09,85,4.5
2020-02-13 17:08:39,-29.68,-71.43,67,5
2020-02-11 13:50:03,-24.77,-70.76,55,5.1
2020-02-11 03:17:27,-30.39,-71.55,41,3.9
2020-02-10 02:00:58,-29.32,-70.67,78,3.3
2020-02-08 06:17:58,-20.84,-68.7,110,5.2
2020-02-07 05:27:31,-26.46,-70.69,50,3.6
2020-02-06 06:51:16,-29.34,-70.64,87,4.1
2020-01-31 19:28:54,-30.97,-71.33,67,3.9
2020-01-29 19:37:11,-32.75,-71.72,30,3.3
2020-01-29 17:31:08,-21.56,-69.62,48,3.5
2020-01-28 05:09:55,-31.74,-71.38,46,4
2020-01-24 05:13:49,-17.46,-71.09,79,5.2
2020-01-21 04:18:42,-30.73,-71.41,52,3.6
2020-01-19 07:33:42,-41.73,-74.17,39,4.6
2020-01-18 18:52:13,-29.33,-71.33,56,3.7
2020-01-17 03:51:41,-29.47,-71.28,50,3.2
2020-01-17 03:19:26,-28.64,-71.41,27,3.9
2020-01-16 13:12:57,-19.89,-69.24,96,4.8
2020-01-16 11:41:55,-29.93,-71.36,50,3.4
2020-01-14 01:57:30,-21.73,-68.48,124,5.1
2020-01-13 08:12:39,-26.24,-70.61,56,5
2020-01-13 02:01:42,-40.25,-71.52,174,4.7
2020-01-12 11:20:30,-20.86,-70.17,53,4.9
2020-01-10 20:48:04,-30.84,-71.36,45,4.9
2020-01-09 10:09:48,-19.64,-70.06,46,4.3
2020-01-08 08:47:46,-20.43,-68.93,116,5.2
2020-01-06 08:10:57,-27.21,-71.11,25,3.8
2020-01-06 04:07:47,-31.16,-71.44,59,3.7
2020-01-01 16:51:31,-30.28,-71.56,47,4.9
2020-01-01 00:11:23,-25.64,-70.52,53,3.5
2019-12-30 08:02:54,-30.28,-71.57,43,4.2
2019-12-28 22:40:02,-33.07,-70.22,114,4.5
2019-12-28 17:48:38,-25.57,-70.72,44,3.5
2019-12-27 18:50:44,-23.1,-69.71,117,4.4
2019-12-27 09:37:04,-19.84,-70.17,38,3.7
2019-12-26 09:28:59,-21.05,-70.39,53,4.2
2019-12-23 11:23:31,-28.67,-71.45,33,4.4
2019-12-22 11:31:07,-27.91,-71.29,26,3.9
2019-12-20 08:31:55,-26.39,-70.44,54,4
2019-12-18 18:44:49,-30.02,-71.26,52,4.5
2019-12-18 08:11:05,-20.25,-69.16,95,5.2
2019-12-17 22:38:17,-27.04,-69.33,122,4.1
2019-12-12 03:42:56,-32.63,-71.62,37,3.7
